file,role,bytes,sha256,rows,columns
.gitignore,documentation_or_configuration,50,f5e6302465f45ba33319c50c7e0257e28c5bde70a3e7d0d1e2a69fbc330324fb,,
DATA_USE.md,documentation_or_configuration,397,654e86ab22ce0632b9c173144a9254f9083924fe680508354e599497b405014e,,
README.md,documentation_or_configuration,2430,3e020f9c05c13ae7f402d5a106ac993b564fc5cafd8123074cdee9997827679e,,
code/reproduce_tables.py,reproduction_code,3226,fbdb29789731e2ee2e845aa9b1c5059c63a0591925a3e99352f324ab3762380c,,
config/erp_endpoints.csv,analysis_configuration,459,b797a7aafb5a5afd5d1c098d7ba8dc3380c4ed6a1a2e7e510c139a500898eb1e,4,8
data/behavior/iat_subject_analysis_ready.csv,analysis_ready_behavior_data,8875,6835b31107da53694a0c2856b68a0a6b0ed55ba79f66d3b8fd4496cd6e0a38c4,62,12
data/erp/erp_subject_cell_analysis_ready.csv,analysis_ready_erp_data,132275,6b376c1ff4e5f993f7c4b6403c21e67643df0450088c5ab43e42a713ed76681f,960,14
data/questionnaire/questionnaire_analysis_ready.csv,analysis_ready_questionnaire_data,4190,dc730779962c300401265e0adfcdbffebea75d1d8d5db2ac3f91b52002f46bb2,62,7
docs/data_dictionary.md,documentation_or_configuration,2652,6d329cb32c5138242f2f8d67419b22eda10fa5643e70037ff5e9ecf6ee0dba61,,
docs/provenance.md,documentation_or_configuration,2038,a2189e2c32c969f0be7c5805ef9ea125820254708ac7a8239f3a886c34019d3c,,
requirements.txt,documentation_or_configuration,36,d6a1a357d70d93d54ca9293a23ef2dbacd4c8ef8ba99ce4bf2787a40d7ffce25,,
results/erp_fixed_effects_all_terms.csv,analysis_result,9191,99a3a08b43bd4dd8ae7d8904acae0c162d59809ba7b29f477e3a69e243030599,32,19
results/erp_followups_gate_released.csv,analysis_result,11857,49aa4693d5d9046e3490a49b89e30b0ab87b3ab082c3bc41540987d67518d5d7,25,26
results/erp_model_metrics.csv,analysis_result,535,4275696f5b10fb934377fc0a262ebbfb9b5f315f2632077602b21999ad946f5a,4,15
results/iat_group_comparisons.csv,analysis_result,1512,f79b8c3373c778bff22c78a34d18452c343615879fb0169e509e76ca48f75495,5,16
results/questionnaire_group_comparisons.csv,analysis_result,1515,dd088d65f21ce92fb8ae72f37c9dd608b79a39bc3e79420622d7572f873f4719,5,16
