participant_id,community_group,iat_d_score,accuracy,compatible_rt_ms,incompatible_rt_ms,rt_difference_ms,n_compatible_responses,n_incompatible_responses,raw_response_count,error_rate,fast_response_rate_under_300ms
IAT001,high-support,1.4145463263887372,0.98124999999999996,900.87012987012986,1867.7142857142858,966.84415584415592,77,63,160,0.018750000000000044,0
IAT002,high-support,-0.33687934634849381,0.6875,858.68656716417911,741.66666666666663,-117.01990049751248,67,39,160,0.3125,0
IAT003,high-support,0.94787745055346917,0.99375000000000002,539.39743589743591,929.25675675675677,389.85932085932086,78,74,160,0.0062499999999999778,0.012500000000000001
IAT004,high-support,0.3873727107671962,0.69999999999999996,587.77333333333331,679.64864864864865,91.875315315315333,75,37,160,0.30000000000000004,0
IAT005,high-support,0.36775658850495019,1,675.29113924050637,776.35443037974687,101.0632911392405,79,79,160,0,0
IAT006,high-support,1.7280816860864541,1,739.48749999999995,1869.1666666666667,1129.6791666666668,80,66,160,0,0
IAT007,high-support,0.97423786571475202,0.97499999999999998,834.97435897435901,1475.1267605633802,640.15240158902122,78,71,160,0.025000000000000022,0
IAT008,high-support,1.3803751714474117,0.98124999999999996,685.96202531645565,1241.7236842105262,555.76165889407059,79,76,160,0.018750000000000044,0
IAT009,high-support,0.85287106694817483,0.75624999999999998,664.58749999999998,828.19512195121956,163.60762195121958,80,41,160,0.24375000000000002,0
IAT010,high-support,1.4906912130178922,0.98750000000000004,543.26250000000005,1477.8115942028985,934.54909420289846,80,69,160,0.012499999999999956,0
IAT011,high-support,1.4601765961678843,0.98124999999999996,632.37179487179492,1588.1447368421052,955.77294197031028,78,76,160,0.018750000000000044,0
IAT012,high-support,-0.1217936649598696,0.97499999999999998,990.5,927.30666666666662,-63.193333333333385,78,75,160,0.025000000000000022,0
IAT013,high-support,1.3067665978279486,0.99375000000000002,1130.3116883116884,1886.3333333333333,756.02164502164487,77,54,160,0.0062499999999999778,0
IAT014,high-support,1.025558311270518,0.98750000000000004,587.97500000000002,1011.8,423.82499999999993,80,75,160,0.012499999999999956,0
IAT015,high-support,0.45958781940844662,0.75,648,756.36956521739125,108.36956521739125,74,46,160,0.25,0
IAT016,high-support,1.4386457779640054,0.99375000000000002,553.41772151898738,1225.1898734177216,671.77215189873425,79,79,160,0.0062499999999999778,0
IAT017,high-support,1.6107556734195663,0.96875,459.01351351351349,1019.8227848101266,560.80927129661313,74,79,160,0.03125,0.0062500000000000003
IAT018,high-support,1.6242227987287481,0.98750000000000004,628.91139240506334,1385.4810126582279,756.56962025316454,79,79,160,0.012499999999999956,0
IAT019,high-support,1.4854817790816233,1,960.73749999999995,1799.6578947368421,838.92039473684213,80,76,160,0,0
IAT020,high-support,2.1505651078010546,0.93125000000000002,696.15384615384619,2334.3846153846152,1638.2307692307691,78,26,160,0.068749999999999978,0
IAT021,high-support,1.6548485675872542,0.83750000000000002,741.67532467532465,1923.9736842105262,1182.2983595352016,77,38,160,0.16249999999999998,0
IAT022,high-support,1.3626000093684196,0.99375000000000002,762.91250000000002,1547.5,784.58749999999998,80,72,160,0.0062499999999999778,0
IAT023,high-support,1.4580490566363613,0.91874999999999996,827.93421052631584,1727.7222222222222,899.78801169590633,76,54,160,0.081250000000000044,0
IAT024,high-support,1.2932489510766629,0.99375000000000002,655.85000000000002,1313.6794871794871,657.82948717948705,80,78,160,0.0062499999999999778,0
IAT025,high-support,1.0858315806302363,0.93125000000000002,812.66216216216219,1213.0945945945946,400.43243243243239,74,74,160,0.068749999999999978,0
IAT026,high-support,0.6325946931042683,0.98124999999999996,588.89999999999998,802.1973684210526,213.29736842105262,80,76,160,0.018750000000000044,0
IAT027,high-support,0.045303784472247914,0.96250000000000002,709.24324324324323,720.76470588235293,11.5214626391097,74,68,160,0.037499999999999978,0.074999999999999997
IAT028,high-support,0.27620376974146893,0.98750000000000004,871.72151898734182,947.33333333333337,75.611814345991547,79,78,160,0.012499999999999956,0
IAT029,high-support,0.30331286311965661,0.97499999999999998,649.45000000000005,736.64705882352939,87.197058823529346,80,68,160,0.025000000000000022,0.056250000000000001
IAT030,high-support,0.9071384610821065,0.99375000000000002,529.56962025316454,874.33333333333337,344.76371308016883,79,78,160,0.0062499999999999778,0.0062500000000000003
IAT031,low-support,-0.25279570251580152,0.96875,939.19230769230774,831.5,-107.69230769230774,78,76,160,0.03125,0
IAT032,low-support,0.96773113214283002,0.93125000000000002,878.24324324324323,1432.0689655172414,553.82572227399817,74,58,160,0.068749999999999978,0
IAT033,low-support,0.28362794368168581,0.95625000000000004,627.88,713.66666666666663,85.786666666666633,75,78,160,0.043749999999999956,0
IAT034,low-support,-0.06191502289254331,1,541.3125,530,-11.3125,80,79,160,0,0
IAT035,low-support,0.093563092764476913,1,593.47500000000002,616.18181818181813,22.706818181818107,80,77,160,0,0.012500000000000001
IAT036,low-support,1.3926214682351048,0.98124999999999996,663.98749999999995,1416.6756756756756,752.68817567567567,80,74,160,0.018750000000000044,0
IAT037,low-support,0.2280620124713586,0.97499999999999998,811.36842105263156,894.22784810126586,82.859427048634302,76,79,160,0.025000000000000022,0
IAT038,low-support,-0.28111160341950581,0.97499999999999998,691.40506329113919,617,-74.405063291139186,79,50,160,0.025000000000000022,0.16250000000000001
IAT039,low-support,-0.53976424246837962,1,1020.75,707.4487179487179,-313.3012820512821,76,78,160,0,0
IAT040,low-support,0.94089128989489657,0.9375,735.0512820512821,1121.8611111111111,386.80982905982899,78,72,160,0.0625,0
IAT041,low-support,0.69327018137011931,1,647.53750000000002,906.51898734177212,258.98148734177209,80,79,160,0,0
IAT042,low-support,0.34151078796396905,0.98750000000000004,759.38750000000005,888.31168831168827,128.92418831168823,80,77,160,0.012499999999999956,0
IAT043,low-support,-0.057978847464033069,0.98124999999999996,551.83544303797464,543.01282051282055,-8.8226225251540882,79,78,160,0.018750000000000044,0
IAT044,low-support,0.55591497241758558,1,488.66250000000002,557.61249999999995,68.949999999999932,80,80,160,0,0
IAT045,low-support,0.79754718728542928,0.73750000000000004,572.53750000000002,795.86842105263156,223.33092105263154,80,38,160,0.26249999999999996,0
IAT046,low-support,-0.088498631568485073,0.99375000000000002,727.88461538461536,694.53750000000002,-33.347115384615336,78,80,160,0.0062499999999999778,0
IAT047,low-support,0.16238735353849623,0.99375000000000002,712.30379746835445,782.63013698630141,70.326339517946963,79,73,160,0.0062499999999999778,0.03125
IAT048,low-support,-0.51410470109189554,1,791.89999999999998,684.24050632911394,-107.65949367088604,80,79,160,0,0
IAT049,low-support,0.46674190000981414,0.99375000000000002,672.10000000000002,770.13924050632909,98.039240506329065,80,79,160,0.0062499999999999778,0
IAT050,low-support,-0.15980412735328317,1,1020.7875,966.67948717948718,-54.10801282051284,80,78,160,0,0
IAT051,low-support,0.67815568110848945,0.99375000000000002,674.3125,925.32000000000005,251.00750000000005,80,75,160,0.0062499999999999778,0
IAT052,low-support,-0.13783668792205864,0.99375000000000002,820.09459459459458,763.35526315789468,-56.739331436699899,74,76,160,0.0062499999999999778,0.025000000000000001
IAT053,low-support,0.06382210406055619,0.98750000000000004,1031.328947368421,1069.4666666666667,38.137719298245656,76,75,160,0.012499999999999956,0.012500000000000001
IAT054,low-support,1.0783023821751931,0.9375,627.76250000000005,954.76271186440681,327.00021186440677,80,59,160,0.0625,0.0062500000000000003
IAT055,low-support,1.3350878712389518,0.90000000000000002,650.25,1560.2727272727273,910.02272727272725,72,66,160,0.099999999999999978,0
IAT056,low-support,-0.34235436975738831,1,659.02499999999998,554.4375,-104.58749999999998,80,80,160,0,0
IAT057,low-support,0.17773853676194412,0.94374999999999998,888.51315789473688,998.35211267605632,109.83895478131944,76,71,160,0.056250000000000022,0
IAT058,low-support,1.2199119726213026,0.96875,876.30379746835445,1614.9130434782608,738.60924600990631,79,69,160,0.03125,0
IAT059,low-support,0.44215191430565337,1,807.95000000000005,967.11392405063293,159.16392405063289,80,79,160,0,0
IAT060,low-support,1.0475006089717089,0.86875000000000002,810.04411764705878,1323.8,513.75588235294117,68,65,160,0.13124999999999998,0
IAT061,low-support,0.40970835526258065,0.99375000000000002,587.78750000000002,698.70886075949363,110.92136075949361,80,79,160,0.0062499999999999778,0
IAT062,low-support,0.69249361679125543,0.90000000000000002,572.10958904109589,840.71212121212125,268.60253217102536,73,66,160,0.099999999999999978,0.0062500000000000003
