participant_id,community_group,endpoint_id,lock,erp_component,window_start_ms,window_end_ms,electrodes,compatibility,stimulus_factor,stimulus_level,semantic_cell_id,retained_trial_count,mean_amplitude_uv
ERP001,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,19,-0.58165376310683437
ERP001,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,0.48303928120799944
ERP001,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-1.9765806384151365
ERP001,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-2.516779166081081
ERP002,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,2.4797428140904012
ERP002,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,2.4028333016948493
ERP002,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,17,-2.5460683834462143
ERP002,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,0.61802672690625116
ERP003,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-3.5253496178798587
ERP003,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-3.1814624142191783
ERP003,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,-2.0921669653205819
ERP003,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,19,-3.697712067727613
ERP004,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-5.2612800233625281
ERP004,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-6.8286961662513903
ERP004,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-7.7476458924733338
ERP004,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-6.9670627607261544
ERP006,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,11,8.0374012102290298
ERP006,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,10,-0.53307473297359032
ERP006,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,13,5.1993323208122364
ERP006,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,10,0.39184154423063466
ERP007,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,19,-2.1285859073182123
ERP007,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,19,-1.5755621911529816
ERP007,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,0.19371051209965542
ERP007,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,19,-1.2864254016123817
ERP008,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,1.1501382584533641
ERP008,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,0.83202382920493789
ERP008,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-0.63158368295724021
ERP008,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,-0.16047040615142749
ERP009,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,1.9189672129159319
ERP009,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-0.35151699701199612
ERP009,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-3.8379867311139204
ERP009,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,19,-3.3162848930479973
ERP010,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,12,1.4808749138603756
ERP010,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,13,-0.33140456117564376
ERP010,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,19,0.13226207860093964
ERP010,high-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,19,0.19886973336936911
