participant_id,community_group,positive_affect,negative_affect,life_satisfaction,belonging,resident_experience_composite
Q001,high-support,2,0,6.75,7,1.4759006961642847
Q002,high-support,1.875,0.090909090909090898,4.5,4.5,0.29659219793575398
Q003,high-support,0.875,0.45454545454545497,4.5,6,-0.37196457166954167
Q004,high-support,1.375,1.36363636363636,3.25,5.5,-0.86279715861703776
Q005,high-support,2,0.090909090909090898,6,6.25,1.0998901519443751
Q006,high-support,1.875,0.36363636363636398,5,5,0.36473677435996416
Q007,high-support,2,0.090909090909090898,5.75,5,0.78049785013829975
Q008,high-support,1.625,0.90909090909090895,4.75,4,-0.39702919118232571
Q009,high-support,1.625,1,4.75,5.25,-0.18349859760855969
Q010,high-support,2,0.36363636363636398,6,4,0.47658787223864141
Q011,high-support,1.875,0.63636363636363602,5.75,5.25,0.43630013748349245
Q012,high-support,2,0.090909090909090898,6,6,1.0472278994265822
Q013,high-support,2,0.18181818181818199,6.25,5.75,1.0008660171107007
Q014,high-support,1,1,4.25,4.25,-0.99718944152098876
Q015,high-support,2,0.63636363636363602,6.5,6.5,0.96603046880519616
Q016,high-support,1.875,0,5.25,6,0.83058949970904228
Q017,high-support,1.625,0.090909090909090898,5.5,5.75,0.58787571523034654
Q018,high-support,2,0.45454545454545497,5.75,7,1.0026731942198479
Q019,high-support,1.875,0.27272727272727298,3.25,2.75,-0.45201010380474749
Q020,high-support,2,1,5,5.5,0.21977254737056551
Q021,high-support,2,0.45454545454545497,6,5.5,0.74278071833020054
Q022,high-support,2,0.54545454545454497,6.25,6,0.85440559356769863
Q023,high-support,1.625,0.63636363636363602,4.75,3.5,-0.35301168917231501
Q024,high-support,1.5,0.27272727272727298,4.5,4,-0.20282149837445163
Q025,high-support,1.625,0.72727272727272696,5.25,5,0.02534323535346511
Q026,high-support,1.375,0,2.75,4.25,-0.49156046441224277
Q027,high-support,1.875,0,5,4,0.35321044034958782
Q028,high-support,1.875,0.27272727272727298,6.5,6,0.96165268874899801
Q029,high-support,1.25,0.45454545454545497,4.75,5,-0.23200468927938142
Q030,high-support,2,0,7,5.75,1.2686704727924303
Q031,high-support,1.75,0.36363636363636398,5.25,4,0.11199285242449546
Q032,high-support,1.75,0.90909090909090895,5,4.5,-0.13744769584822203
Q033,low-support,1.25,0.45454545454545497,4.5,5.5,-0.18276122346090592
Q034,low-support,1.25,1.27272727272727,3.75,5,-0.90435486728461145
Q035,low-support,1.25,1.4545454545454499,3,3,-1.5934573431086838
Q036,low-support,1.125,1,4,2.75,-1.2710680447634501
Q037,low-support,1.75,0.72727272727272696,5.25,4.25,-0.034467571118506651
Q038,low-support,1.375,0.54545454545454497,4.75,3.75,-0.44692066980213752
Q039,low-support,1.625,0.54545454545454497,4,4,-0.36614963277286161
Q040,low-support,1.125,1.4545454545454499,3,1.75,-1.954944556779056
Q041,low-support,1.875,1,4.75,1,-0.88240498824822611
Q042,low-support,1.5,1.1818181818181801,2,4.75,-1.1034518231441652
Q043,low-support,1.375,0.27272727272727298,4.25,4.75,-0.19909173111959039
Q044,low-support,1.5,0.63636363636363602,3.5,3.5,-0.73159283633927474
Q045,low-support,1.75,0.72727272727272696,4,5,-0.15688600965068025
Q046,low-support,1.125,0.18181818181818199,3.25,5.25,-0.46466261610006199
Q047,low-support,1.125,0.54545454545454497,3,4,-0.98317759396693249
Q048,low-support,2,1.1818181818181801,4,4.75,-0.26209970508165237
Q049,low-support,1.875,0.63636363636363602,5.75,5.5,0.48896239000128539
Q050,low-support,1.625,0.27272727272727298,3,4.75,-0.28314502504232847
Q051,low-support,1.625,0.36363636363636398,5.25,6.25,0.48777717400322523
Q052,low-support,1.5,0.72727272727272696,4.25,4.25,-0.45514363014976311
Q053,low-support,1.75,1.27272727272727,5,5.25,-0.1785836143556371
Q054,low-support,1.25,0.63636363636363602,4.75,5.75,-0.17357926975639976
Q055,low-support,2,0.36363636363636398,4.25,4.75,0.24200735527224682
Q056,low-support,1.25,1.8181818181818199,3.75,3.25,-1.5716746490003581
Q057,low-support,1.875,0.36363636363636398,4.75,4.5,0.20333123010726761
Q058,low-support,2,0,4.75,5,0.6059543622850565
Q059,low-support,1.875,0,5.5,6,0.88667053892615277
Q060,low-support,1.5,1,4.25,5.25,-0.39383662712418799
Q061,low-support,2,0,7,7,1.5319817353813949
Q062,low-support,2,1.5454545454545501,5.25,5.25,-0.075492680021312764
