endpoint_id,stage,component,electrode,tmin_ms,tmax_ms,effect,contrast_direction,estimate_uv,se,ci95_low,ci95_high,t,df,p_value,q_bh_subset7,effect_size_type,effect_size,reported_in_supplement_s2
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Intercept,equal-weight grand mean,-1.8969694704108488,0.37965829618500002,-2.6569381198851536,-1.1370008209365441,-4.9965178937812356,58,5.6896932422737871e-06,,none,,False
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Group,high - low,0.014040620664130799,0.75931659237000004,-1.5058966782844792,1.5339779196127408,0.018491128476867302,58,0.98531051953152315,0.98531051953152315,Hedges_g,0.0047228907933109,True
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Compatibility,compatible - incompatible,-0.27490850255116539,0.21977649175921879,-0.714838948709695,0.16502194360736411,-1.2508549042285551,58,0.21600987414530129,0.30241382380342191,Cohen_dz_group_equal,-0.16184472921423829,True
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Word,positive - negative,0.52821896790516432,0.1627401354747951,0.2024591933531025,0.85397874245722605,3.2457817880271689,58,0.0019474215595495,0.0136319509168467,Cohen_dz_group_equal,0.41996291719841172,True
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Group_x_Compatibility,compatibility effect in high - compatibility effect in low,1.2353371034223397,0.43955298351843758,0.35547621110528049,2.1151979957393987,2.810439582354745,58,0.0067354488524200996,0.023574070983470401,Hedges_g,0.71782526660093893,True
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Group_x_Word,word effect in high - word effect in low,-0.47423305413236938,0.32548027094959031,-1.1257526032364931,0.17728649497175411,-1.4570254988076301,58,0.1505023235852912,0.26337906627425961,Hedges_g,-0.37214452987800889,True
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Compatibility_x_Word,compatibility-by-word difference-in-differences,0.078221080943649796,0.46206738080044618,-0.84670727405779789,1.0031494359450976,0.16928500948962519,58,0.86616150362334954,0.98531051953152315,Cohen_dz_group_equal,0.021903329017825102,True
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,Group_x_Compatibility_x_Word,compatibility-by-word interaction in high - low,-1.4193701119584516,0.92413476160089236,-3.2692268219613472,0.43048659804444389,-1.5358908364183332,58,0.13000279894132349,0.26337906627425961,Hedges_g,-0.39228783142820411,True
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,Intercept,equal-weight grand mean,5.2667411636450723,0.4847965622404864,4.2963154087547863,6.2371669185353582,10.863817060304299,58,1.317040794320752e-15,,none,,False
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,Group,high - low,-0.44170767066168459,0.96959312448097279,-2.3825591804422555,1.4991438391188865,-0.45555982144379648,58,0.6504075200019398,0.6504075200019398,Hedges_g,-0.116356299681269,True
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,Compatibility,compatible - incompatible,0.4474952521199459,0.2148125297594988,0.017501255486888301,0.87748924875300349,2.0831897125412349,58,0.041651907824943997,0.058312670954921701,Cohen_dz_group_equal,0.26953827641268863,True
