endpoint_id,stage,component,electrode,tmin_ms,tmax_ms,gate_level,trigger_effect,conditioning,contrast,estimate_uv,se,ci95_low,ci95_high,t,df,p_value,p_holm_family,effect_size_type,effect_size,family_id,parent_ids,gate_released,gate_reason,holm_significant,released_and_significant
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,marginal_simple_after_overall_two_way,Group_x_Compatibility,Group=low;Word=marginal,compatible - incompatible,-0.89257705426233525,0.30027185207627199,-1.4936364705600809,-0.29151763796458963,-2.9725631892915878,58,0.0042949873903485999,0.047244861293835497,Cohen_dz,-0.55227596490124176,word_N2__k04__b000f:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,1,1
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,marginal_simple_after_overall_two_way,Group_x_Compatibility,Group=high;Word=marginal,compatible - incompatible,0.34276004916000441,0.32100411238899301,-0.29979949509156512,0.98531959341157405,1.0677746356864348,58,0.29004643895988891,1,Cohen_dz,0.19164223593939411,word_N2__k04__b000f:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,marginal_simple_after_overall_two_way,Group_x_Compatibility,Compatibility=compatible;Word=marginal,high - low,0.63170917237530066,0.81332644593730741,-0.99634059477511239,2.2597589395257138,0.77669818254501211,58,0.4404930280642177,1,Hedges_g,0.19837949317761319,word_N2__k04__b000f:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
word_N2__k04__b000f,word,N2,P7|P8|PO7|PO5,160,240,marginal_simple_after_overall_two_way,Group_x_Compatibility,Compatibility=incompatible;Word=marginal,high - low,-0.60362793104703905,0.76695950342618868,-2.1388641786865885,0.93160831659251042,-0.78704016098697649,58,0.43446267504928571,1,Hedges_g,-0.20102097797554119,word_N2__k04__b000f:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_two_way_after_three_way,Group_x_Compatibility_x_Picture,Group=low,Compatibility_x_Picture within low,0.45837765873339148,0.40039339743375069,-0.34309680544605942,1.2598521229128423,1.1448182254534678,58,0.2569867655083124,0.51397353101662491,Cohen_dz,0.20411874083600931,picture_P3__k04__b008b:simple_2way_after_three_way,CP_at_Group_low,1,three-way BH q<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_two_way_after_three_way,Group_x_Compatibility_x_Picture,Group=high,Compatibility_x_Picture within high,-0.96151339715751338,0.42803854660671647,-1.8183256397882932,-0.10470115452673349,-2.2463243200406331,58,0.028506211159808701,0.1140248446392349,Cohen_dz,-0.42043415922622718,picture_P3__k04__b008b:simple_2way_after_three_way,CP_at_Group_high,1,three-way BH q<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_two_way_after_three_way,Group_x_Compatibility_x_Picture,Compatibility=incompatible,Group_x_Picture at incompatible,1.8536810175352023,0.62569079331420441,0.60122481688945673,3.1061372181809483,2.9626151404857506,58,0.0044171039139952999,0.022085519569976501,Hedges_g,0.75669301571441061,picture_P3__k04__b008b:simple_2way_after_three_way,GP_at_Compatibility_incompatible,1,three-way BH q<.05,1,1
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_two_way_after_three_way,Group_x_Compatibility_x_Picture,Compatibility=compatible,Group_x_Picture at compatible,0.43378996164429762,0.46771637174579761,-0.50244607730023816,1.3700260005888334,0.92746371059266897,58,0.35752939451605042,0.51397353101662491,Hedges_g,0.23688710104241739,picture_P3__k04__b008b:simple_2way_after_three_way,GP_at_Compatibility_compatible,1,three-way BH q<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_two_way_after_three_way,Group_x_Compatibility_x_Picture,Picture=unfamiliar,Group_x_Compatibility at unfamiliar,2.1756623946479845,0.50350347110052651,1.1677906932182451,3.1835340960777239,4.3210474594992512,58,6.164872194326792e-05,0.00036989233165959999,Hedges_g,1.1036554794077924,picture_P3__k04__b008b:simple_2way_after_three_way,GC_at_Picture_unfamiliar,1,three-way BH q<.05,1,1
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_two_way_after_three_way,Group_x_Compatibility_x_Picture,Picture=own,Group_x_Compatibility at own,0.7557713387570798,0.5361022040320218,-0.31735381634261473,1.8288964938567744,1.4097523439988264,58,0.1639527401902568,0.49185822057077039,Hedges_g,0.36007031018413999,picture_P3__k04__b008b:simple_2way_after_three_way,GC_at_Picture_own,1,three-way BH q<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_main_after_simple_two_way,simple_two_way_interaction,Picture=unfamiliar;Compatibility=incompatible,high - low,-2.101406612780552,1.0282320513361649,-4.1596366876986748,-0.043176537862429101,-2.0437085286826262,58,0.045532948090677997,0.36426358472542458,Hedges_g,-0.52199151643995201,picture_P3__k04__b008b:conditional_edges_after_simple_2way,GP_at_Compatibility_incompatible;GC_at_Picture_unfamiliar,1,at least one parent simple two-way Holm p<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_main_after_simple_two_way,simple_two_way_interaction,Picture=own;Compatibility=incompatible,high - low,-0.24772559524534951,0.94375944569530379,-2.1368653785208553,1.641414188030156,-0.26248806978863198,58,0.79387528591821299,1,Hedges_g,-0.067043095271851205,picture_P3__k04__b008b:conditional_edges_after_simple_2way,GP_at_Compatibility_incompatible;GC_at_Picture_own,1,at least one parent simple two-way Holm p<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_main_after_simple_two_way,simple_two_way_interaction,Picture=unfamiliar;Compatibility=compatible,high - low,0.074255781867432494,1.068463994499284,-2.064507277101443,2.2130188408363081,0.069497692247674797,58,0.94483252910193039,1,Hedges_g,0.017750674940337899,picture_P3__k04__b008b:conditional_edges_after_simple_2way,GP_at_Compatibility_compatible;GC_at_Picture_unfamiliar,1,at least one parent simple two-way Holm p<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_main_after_simple_two_way,simple_two_way_interaction,Group=low;Compatibility=incompatible,own - unfamiliar,-1.6316140834310433,0.42742818358699031,-2.4872045517335613,-0.77602361512852513,-3.8172824022470588,58,0.00033032007930059999,0.0036335208723066001,Cohen_dz,-0.61767412660421661,picture_P3__k04__b008b:conditional_edges_after_simple_2way,CP_at_Group_low;GP_at_Compatibility_incompatible,1,at least one parent simple two-way Holm p<.05,1,1
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_main_after_simple_two_way,simple_two_way_interaction,Group=high;Compatibility=incompatible,own - unfamiliar,0.22206693410415909,0.45693994869532312,-0.69259775040369598,1.1367316186120144,0.4859871296834854,58,0.62880738832494787,1,Cohen_dz,0.1041400468820826,picture_P3__k04__b008b:conditional_edges_after_simple_2way,CP_at_Group_high;GP_at_Compatibility_incompatible,1,at least one parent simple two-way Holm p<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_main_after_simple_two_way,simple_two_way_interaction,Group=low;Picture=unfamiliar,compatible - incompatible,-0.51455201059801592,0.34395835192379048,-1.2030594574616471,0.17395543626561549,-1.4959718457774889,58,0.14008290262322229,0.8404974157393339,Cohen_dz,-0.24082265874517239,picture_P3__k04__b008b:conditional_edges_after_simple_2way,CP_at_Group_low;GC_at_Picture_unfamiliar,1,at least one parent simple two-way Holm p<.05,0,0
picture_P3__k04__b008b,picture,P3,P7|P5|P8|PO4,250,400,simple_main_after_simple_two_way,simple_two_way_interaction,Group=high;Picture=unfamiliar,compatible - incompatible,1.6611103840499686,0.36770694520521191,0.92506496279106176,2.3971558053088753,4.5174843872555277,58,3.1262698175999869e-05,0.00037515237811189999,Cohen_dz,0.97696153262308005,picture_P3__k04__b008b:conditional_edges_after_simple_2way,CP_at_Group_high;GC_at_Picture_unfamiliar,1,at least one parent simple two-way Holm p<.05,1,1
word_P3__k04__b00e8,word,P3,P5|PO7|PO5|PO3,280,400,marginal_simple_after_overall_two_way,Group_x_Compatibility,Group=low;Word=marginal,compatible - incompatible,0.046334548623741902,0.44071878651668561,-0.83585995193797913,0.9285290491854632,0.1051340447498435,58,0.91663219337184998,1,Cohen_dz,0.015624106865672,word_P3__k04__b00e8:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
word_P3__k04__b00e8,word,P3,P5|PO7|PO5|PO3,280,400,marginal_simple_after_overall_two_way,Group_x_Compatibility,Group=high;Word=marginal,compatible - incompatible,1.6672269829043804,0.47114820087434411,0.72412139159063416,2.6103325742181269,3.5386466080320065,58,0.00079957014457010002,0.0095948417348422008,Cohen_dz,0.92422247082016684,word_P3__k04__b00e8:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,1,1
word_P3__k04__b00e8,word,P3,P5|PO7|PO5|PO3,280,400,marginal_simple_after_overall_two_way,Group_x_Compatibility,Compatibility=compatible;Word=marginal,high - low,1.5040402567089544,0.80850166445707417,-0.1143516609952957,3.1224321744132046,1.860280965183849,58,0.067918458341897706,0.61126612507707989,Hedges_g,0.4751415715070848,word_P3__k04__b00e8:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
word_P3__k04__b00e8,word,P3,P5|PO7|PO5|PO3,280,400,marginal_simple_after_overall_two_way,Group_x_Compatibility,Compatibility=incompatible;Word=marginal,high - low,-0.11685217757168399,0.73702100573246543,-1.5921600109286662,1.3584556557852978,-0.1585466040490314,58,0.87457685617152947,1,Hedges_g,-0.040495002644680998,word_P3__k04__b00e8:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
picture_LPP__k05__b011d,picture,LPP,P7|P6|P8|PO7|PO6,400,500,marginal_simple_after_overall_two_way,Group_x_Compatibility,Group=low;Picture=marginal,compatible - incompatible,-0.48590020394994682,0.41015992290907483,-1.306924492932704,0.33512408503281021,-1.1846603649222509,58,0.2409835178240235,1,Cohen_dz,-0.2873430216203286,picture_LPP__k05__b011d:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
picture_LPP__k05__b011d,picture,LPP,P7|P6|P8|PO7|PO6,400,500,marginal_simple_after_overall_two_way,Group_x_Compatibility,Group=high;Picture=marginal,compatible - incompatible,1.5131658938877657,0.43847940151753417,0.63545400943257824,2.3908777783429525,3.4509395165447834,58,0.0010484153922936,0.0125809847075235,Cohen_dz,0.52582389705621491,picture_LPP__k05__b011d:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,1,1
picture_LPP__k05__b011d,picture,LPP,P7|P6|P8|PO7|PO6,400,500,marginal_simple_after_overall_two_way,Group_x_Compatibility,Compatibility=compatible;Picture=marginal,high - low,0.9443802622804518,1.1425023476046223,-1.3425866625966989,3.2313471871576023,0.82658934072253354,58,0.41185747912327852,1,Hedges_g,0.21112238725890359,picture_LPP__k05__b011d:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
picture_LPP__k05__b011d,picture,LPP,P7|P6|P8|PO7|PO6,400,500,marginal_simple_after_overall_two_way,Group_x_Compatibility,Compatibility=incompatible;Picture=marginal,high - low,-1.0546858355572606,1.0528597967157398,-3.1622136989967551,1.0528420278822339,-1.001734360878074,58,0.32063295949175719,1,Hedges_g,-0.25585685569449079,picture_LPP__k05__b011d:marginal_simple_after_overall_2way,Group_x_Compatibility,1,three-way BH q>=.05 and Group_x_Word BH q<.05,0,0
